id,reference,type_message,direction,sender_bic,receiver_bic,sender_name,receiver_name,amount,currency,status,category,translation_errors,created_at,anomaly_score,anomaly_niveau,anomaly_raisons,is_anomaly
1275,BTLMTNTT-20260416-001,PACS.008,IN,BTLMTNTT,BNPAFRPP,"SOCIETE MEDITERRANEENNE D EXPORT SARL","DUPONT ET FILS INDUSTRIES SA",25000,EUR,processed,PACS,,"2026-05-06 12:06:17",1,LOW,[],0
1276,BTLMTNTT-20260416-003,PACS.008,IN,BTLMTNTT,HSBCGB2L,"AHMED SALAH BEN YOUSSEF","UNIVERSITY OF LONDON - FINANCE OFFICE",12800,GBP,processed,PACS,,"2026-05-06 12:07:17",1,LOW,[],0
1277,FT2532731514,PACS.008,IN,LAFBLYLTXXX,ATLDTNTTXXX,"NATIONAL OIL CORPORATION","MASOUD ATIYA HAMED",100,USD,processed,PACS,,"2026-05-06 12:07:42",1,LOW,[],0
1278,1416424D,MT900,OUT,/0003800040,,"/00038000401202600002
ATLDTNTT",,10148891.56,TND,authorized,9,,"2026-05-06 12:14:20",40,MEDIUM,"[""MONTANT_ELEVE"",""BIC_MANQUANT"",""ML_CLASSIFIER""]",1
1479,BTLMTNTT-COVER-20260416-001,PACS.009,IN,BTLMTNTT,SOGEFRPP,BTLMTNTT,SOGEFRPP,500000,EUR,processed,PACS,,"2026-05-06 12:39:21",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1480,IMPORT-FAILED-SYj6jpxCedm5QeSBZnMxtq8p2VxOi6o4uv3HQCqQ.xml,ERROR,IN,,,,,0,EUR,rejected,,"{""error"":""Error Code    : 12899\nError Message : ORA-12899: value too large for column \"EYAA\".\"SWIFT_MESSAGE_DETAILS\".\"TAG_NAME\" (actual: 16, maximum: 10)\nPosition      : 118\nStatement     : insert into \"SWIFT_MESSAGE_DETAILS\" (\"MESSAGE_ID\", \"TAG_NAME\", \"TAG_VALUE\", \"UPDATED_AT\", \"CREATED_AT\") values (:p0, :p1, :p2, :p3, :p4) returning \"ID\" into :p5\nBindings      : [1479,creditor_account,FR7630003010700005000000142,2026-05-06 12:39:21,2026-05-06 12:39:21,0]\n""}","2026-05-06 12:39:21",,,,0
1681,FT2535031575,PACS.008,IN,LAFBLYLTXXX,ATLDTNTTXXX,"NATIONAL OIL CORPORATION","ABDULSALAM ALI ALMAHDI ABOUKHRIS
PASS NO AD678881",2375,USD,processed,PACS,,"2026-05-06 13:27:13",1,LOW,[],0
1682,REF1234567896,MT103,OUT,enligne,CREDITSUISS,bh,biatt,3605580.5,EUR,pending,1,,"2026-05-06 13:28:32",25,MEDIUM,"[""MONTANT_ELEVE"",""ML_CLASSIFIER""]",1
1793,SW260506135400001,MT940,IN,BTLMTNTT,UBCITNTT,"BTL TUNISIAN LIBYAN BANK","UIB UNION INTERNATIONALE DE BANQUES",11126.4,GBP,authorized,9,,"2026-04-06 08:46:43",1,LOW,[],0
1794,SW260506135400002,MT202,OUT,BNPAFRPP,SOGEFRPP,"BNP PARIBAS","SOCIETE GENERALE",91210.99,TND,processed,2,,"2025-12-12 10:05:44",1,LOW,[],0
